nombreDePoint ; tempsExecution ;
3 ; 0
4 ; 0
5 ; 1
6 ; 0
7 ; 1
8 ; 1
9 ; 2
10 ; 6
11 ; 6
12 ; 10
13 ; 16
14 ; 26
15 ; 37
16 ; 66
17 ; 126
18 ; 177
19 ; 290
20 ; 539
22 ;
24 ;
26 ;
28 ;
30 ;
