;  ;
100;25;1000000
150;40;3375000
300;75;27000000
500;200;125000000
750;579;421875000
1000;1294;1000000000
1500;33189;3375000000
1750;78518;5359375000
2000;146455;8000000000
2350;292898;12977875000
2750;533194;20796875000
